package,last_modified,first_release
robfilter,2019-11-21,2008-01-29
RobGARCHBoot,2020-12-17,2019-11-04
robin,2021-02-09,2019-10-20
RobinHood,2021-03-01,2019-02-03
robis,2020-07-06,2017-12-21
RobKF,2021-02-10,2020-09-01
roblm,2008-02-16,2005-12-13
RobLox,2019-04-11,2007-08-25
RobLoxBioC,2019-04-11,2009-11-04
RoBMA,2021-02-16,2020-08-06
robmed,2021-06-04,2016-09-12
robmixglm,2021-01-07,2018-07-31
RobMixReg,2020-08-05,2020-03-25
robomit,2021-01-25,2020-09-15
robotstxt,2020-09-03,2016-02-08
RobPer,2016-03-27,2013-10-01
robregcc,2020-07-25,2019-10-14
RobRex,2019-04-14,2007-08-25
RObsDat,2018-06-01,2013-08-26
robslopes,2021-02-15,2021-01-27
RobStatTM,2020-03-02,2019-04-23
robsurvey,2019-06-11,2019-05-29
robumeta,2017-05-29,2014-01-08
robust,2020-03-03,2006-05-09
RobustAFT,2020-03-06,2011-08-24
robustarima,2021-05-01,2017-02-23
robustbase,2021-06-02,2006-02-10
RobustBayesianCopas,2021-01-06,2020-05-12
robustBLME,2018-01-26,2017-06-08
RobustCalibration,2018-05-14,2018-02-28
robustDA,2020-10-14,2014-09-29
RobustEM,2017-04-24,2015-06-05
robustfa,2013-11-12,2012-03-12
robustgam,2013-05-10,2012-11-26
RobustGaSP,2021-05-17,2016-07-24
robustHD,2019-12-14,2012-04-10
robustlmm,2021-05-24,2013-03-08
robustloggamma,2020-04-28,2012-11-27
robustrank,2020-07-15,2016-07-08
RobustRankAggreg,2013-06-03,2011-03-28
robustrao,2020-01-24,2016-02-17
robustreg,2019-05-10,2012-10-29
robustSingleCell,2021-06-08,2019-04-01
robustvarComp,2019-07-01,2014-07-10
robustX,2021-06-02,2009-06-14
ROC632,2020-04-12,2013-12-26
rocc,2019-12-06,2010-04-15
roccv,2019-05-10,2016-06-29
ROCit,2020-06-14,2019-01-31
rock,2021-04-25,2019-06-14
rockchalk,2019-03-08,2011-11-03
ROCket,2021-02-17,2021-02-11
RockFab,2014-01-14,2013-11-02
ROCnReg,2021-03-17,2020-03-19
rococo,2018-10-12,2011-10-03
rocplus,2014-07-28,2011-03-14
ROCR,2020-05-02,2005-02-26
ROCS,2016-09-03,2015-03-16
ROCt,2020-04-09,2013-12-20
rocTree,2019-11-27,2019-03-24
ROCwoGS,2021-02-15,2012-10-29
Rodam,2019-03-21,2016-10-05
RODBC,2020-05-11,2000-05-24
RODBCDBI,2016-03-14,2015-12-02
RODBCext,2020-02-24,2014-07-03
rodd,2016-01-12,2014-12-14
rODE,2017-11-10,2017-05-28
rodeo,2021-03-27,2016-04-24
rodham,2021-02-05,2016-05-08
RODM,2011-11-21,2010-05-26
ROI,2020-08-31,2011-10-06
ROI.models.globalOptTests,2020-08-29,2017-11-12
ROI.models.miplib,2020-08-29,2017-05-23
ROI.models.netlib,2020-08-29,2016-12-23
ROI.plugin.alabama,2020-08-29,2017-05-18
ROI.plugin.clp,2017-09-20,2017-04-12
ROI.plugin.cplex,2017-10-20,2016-06-22
ROI.plugin.deoptim,2020-08-29,2017-10-23
ROI.plugin.ecos,2020-08-30,2016-06-19
ROI.plugin.glpk,2020-08-30,2011-10-06
ROI.plugin.ipop,2020-01-16,2016-06-20
ROI.plugin.lpsolve,2020-08-29,2016-12-19
ROI.plugin.msbinlp,2020-08-29,2017-05-18
ROI.plugin.neos,2020-08-29,2018-06-19
ROI.plugin.nloptr,2020-08-29,2016-06-19
ROI.plugin.optimx,2020-08-29,2017-05-18
ROI.plugin.qpoases,2020-08-29,2018-04-23
ROI.plugin.quadprog,2020-08-31,2011-10-06
ROI.plugin.scs,2020-08-29,2016-06-19
ROI.plugin.symphony,2020-08-31,2011-10-06
roistats,2021-03-10,2021-03-09
rolasized,2014-02-28,2012-05-10
roll,2020-07-13,2016-04-03
rollmatch,2020-06-02,2017-10-11
rollply,2019-04-29,2015-09-21
rollRegres,2019-11-21,2018-07-02
ROlogit,2018-03-19,2018-01-29
RolWinMulCor,2021-04-14,2020-05-12
rolypoly,2021-05-27,2017-03-16
romero.gateway,2019-02-10,2018-12-23
ROMIplot,2020-12-10,2015-07-15
RonFHIR,2020-01-10,2017-10-18
Rook,2014-10-20,2011-04-24
RootsExtremaInflections,2019-07-29,2014-08-16
rootSolve,2020-04-27,2008-06-02
rootWishart,2018-03-17,2016-07-13
ropenaq,2021-02-13,2016-07-05
ropenblas,2021-05-07,2019-12-02
ROpenCVLite,2021-03-21,2019-08-02
ROpenDota,2018-06-13,2017-05-04
ropensecretsapi,2014-10-27,2014-10-05
ropensnp,2014-02-21,2012-10-19
roperators,2018-09-28,2018-08-24
ropercenter,2020-07-27,2017-03-17
Ropj,2020-03-14,2019-02-11
roprov,2018-11-06,2018-06-24
ROptEst,2019-04-25,2007-08-25
ROptEstOld,2019-04-11,2009-02-28
roptim,2020-06-29,2018-09-30
ROptimizely,2020-06-15,2015-07-15
ROptRegTS,2019-04-14,2007-08-25
ROptSpace,2020-02-21,2017-09-05
ror,2016-08-28,2011-12-20
ROracle,2016-10-26,2001-11-03
ROracleUI,2012-04-16,2010-01-23
rorcid,2021-01-20,2015-12-07
rorutadis,2017-01-17,2014-04-11
ROSE,2014-07-15,2013-03-01
rosetta,2021-01-24,2019-02-08
rosetteApi,2020-06-18,2016-05-22
rosm,2019-07-22,2015-10-19
rospca,2018-02-26,2017-01-16
rosqp,2020-12-16,2018-02-07
rosr,2020-11-30,2019-02-12
rotasym,2021-01-10,2019-05-15
rotationForest,2017-04-16,2015-05-18
rotations,2021-02-25,2013-09-09
Rothermel,2014-11-10,2014-01-20
rotl,2020-10-22,2015-07-24
rotor,2020-12-13,2019-05-16
roughrf,2020-04-09,2015-01-29
RoughSets,2019-12-15,2014-02-04
round,2021-01-05,2020-01-24
roundhouse,2020-09-24,2018-09-16
Routliers,2019-05-23,2019-04-28
routr,2019-10-03,2017-08-22
rowr,2020-01-28,2014-07-23
roxut,2021-04-26,2020-07-06
roxygen,2014-09-19,2008-08-31
roxygen2,2020-06-27,2011-07-23
roxyPackage,2013-10-22,2013-01-30
royston,2015-02-02,2013-01-02
rPACI,2020-07-02,2019-02-11
rPackedBar,2019-06-17,2018-01-31
rpact,2021-06-10,2018-10-30
Rpad,2012-09-08,2005-05-12
rPAex,2020-01-20,2019-12-22
RPANDA,2020-09-15,2014-12-02
rpanel,2018-05-07,2006-08-21
rPanglaoDB,2021-05-13,2021-04-15
rpart,2019-04-12,1999-04-08
rpart.LAD,2020-05-20,2019-12-16
rpart.permutation,2008-04-23,2006-02-08
rpart.plot,2020-09-17,2011-02-25
rpartitions,2021-06-09,2013-12-11
rpartScore,2012-12-08,2012-03-31
rpatrec,2017-05-23,2017-04-20
Rpdb,2017-09-25,2014-02-25
rpdo,2020-07-10,2015-08-21
RpeakChrom,2017-04-21,2016-12-14
RPEGLMEN,2021-05-14,2019-09-07
RPEIF,2021-06-09,2019-07-03
RPEnsemble,2021-02-24,2015-05-05
RPESE,2021-06-09,2019-11-06
RPEXE.RPEXT,2020-05-21,2017-05-09
rpf,2021-04-29,2012-08-06
rpg,2021-01-12,2014-07-24
rpgm,2019-01-25,2017-02-28
RpgSQL,2013-03-08,2010-02-14
RPgSQL,2008-02-16,2000-01-09
rphast,2020-03-03,2010-09-15
Rphylip,2014-03-26,2014-03-11
Rphylopars,2021-02-06,2015-06-02
rphylopic,2020-06-04,2018-11-19
rphylotastic,2018-07-03,2018-02-27
rpicosat,2017-11-15,2017-11-14
Rpipedrive,2020-04-17,2019-05-08
rpivotTable,2018-01-30,2015-10-27
rPlant,2017-04-24,2012-10-02
rplexos,2017-02-27,2014-08-06
rplos,2021-02-23,2011-12-14
rplotengine,2018-08-08,2011-11-22
rpls,2020-05-07,2020-03-08
rplum,2021-06-02,2020-05-04
RPMG,2019-09-23,2007-10-05
RPMM,2017-02-28,2009-09-09
rpmodel,2021-06-09,2019-10-28
rpms,2019-05-31,2016-10-21
rpn,2019-01-25,2016-06-07
rpnf,2016-08-26,2015-10-12
Rpoet,2019-01-05,2018-07-08
Rpolyhedra,2019-03-26,2017-11-02
Rpoppler,2017-04-18,2013-08-08
rPorta,2013-03-23,2008-05-20
rportfolios,2016-08-19,2012-01-06
rpostgis,2019-11-20,2016-08-20
rpostgisLT,2020-09-02,2016-11-01
RPostgres,2021-04-12,2017-12-06
RPostgreSQL,2017-06-24,2008-10-13
rPowerSampleSize,2018-05-10,2015-11-28
RPPanalyzer,2020-12-17,2010-01-18
rppo,2021-06-03,2018-06-06
rpql,2020-06-16,2016-10-07
rPraat,2021-02-27,2017-07-16
rpredictit,2020-03-18,2020-02-02
rPref,2019-02-16,2014-08-04
RPresto,2021-05-31,2016-03-18
rprev,2021-05-04,2016-06-06
rprime,2020-09-24,2015-05-29
rprintf,2015-09-09,2014-06-07
RprobitB,2021-05-25,2021-05-15
RProbSup,2020-10-19,2018-12-03
Rprofet,2020-04-01,2018-02-07
rprojroot,2020-11-15,2016-03-26
RProtoBuf,2020-03-28,2010-02-02
RPS,2018-07-27,2018-07-18
rpsftm,2020-04-25,2016-09-13
rpsychi,2012-01-03,2010-02-05
RPtests,2017-04-03,2016-06-20
rptR,2019-03-06,2016-09-23
rpubchem,2020-08-07,2006-09-29
RPublica,2015-12-22,2014-05-10
rpud,2015-11-21,2010-09-15
RPushbullet,2021-03-01,2014-06-03
rpvm,2012-04-16,2001-09-04
Rpvt,2020-05-17,2020-05-08
RPyGeo,2018-11-14,2008-05-05
rPython,2020-04-13,2013-03-26
rQCC,2020-07-05,2019-08-02
RQDA,2020-05-20,2008-12-30
rqdatatable,2020-10-17,2018-06-19
RQEntangle,2019-01-04,2018-05-27
RQGIS,2020-04-19,2016-08-15
rqmcmb2,2012-12-22,2003-08-05
rqPen,2020-04-09,2014-10-29
Rquake,2020-12-16,2012-01-25
RQuantLib,2020-04-02,2002-02-27
Rquefts,2021-04-30,2019-10-01
rquery,2021-06-10,2018-01-24
rr,2016-08-17,2015-02-08
rr2,2019-05-09,2018-11-04
Rramas,2019-04-22,2010-10-08
rRAP,2016-10-31,2016-10-09
rrapply,2021-02-08,2020-06-04
Rraven,2021-04-21,2017-11-21
rray,2020-02-11,2019-07-23
rrBLUP,2019-12-18,2011-05-08
rrBlupMethod6,2019-08-31,2011-11-18
rrcov,2020-08-03,2004-06-23
rrcov3way,2020-01-17,2017-06-22
rrcovHD,2021-04-23,2012-07-24
rrcovNA,2020-01-16,2010-10-07
rrd,2019-07-05,2018-07-05
rrdf,2014-08-29,2011-03-31
rrdflibs,2014-08-29,2011-03-31
Rrdrand,2018-07-04,2014-06-16
rrecsys,2019-06-09,2016-04-05
rredis,2015-07-05,2010-03-17
rredlist,2020-10-29,2016-01-26
rrefine,2020-10-07,2016-04-09
rreg,2018-03-22,2017-11-08
rrepast,2020-02-19,2015-11-07
rres,2018-06-04,2018-04-09
rreval,2012-12-22,2012-03-20
RRF,2019-07-02,2011-11-18
RRI,2019-12-19,2019-07-15
rriskBayes,2013-10-04,2012-07-26
rriskDistributions,2017-03-24,2012-06-06
rrlda,2012-06-09,2011-09-20
rroad,2018-02-21,2017-10-18
rRofex,2021-04-28,2020-05-20
rromeo,2020-03-11,2019-05-16
rrp,2012-06-24,2006-02-14
rrpack,2019-11-18,2017-06-22
RRphylo,2020-12-03,2018-04-06
RRPP,2021-03-30,2018-01-22
RRreg,2019-12-04,2014-09-20
RRRR,2020-05-08,2020-03-20
rrscale,2020-05-26,2019-03-13
rrtable,2020-04-02,2018-07-28
RRTCS,2021-04-21,2015-04-24
rrules,2015-08-16,2010-05-22
rrv,2012-07-09,2009-08-20
RSA,2021-03-23,2013-02-07
Rsac,2011-07-02,2007-08-04
rsae,2013-12-10,2011-07-23
RSAGA,2018-11-12,2008-05-05
Rsagacmd,2021-01-11,2019-07-23
RSAgeo,2018-01-05,2016-05-07
rsam,2018-01-14,2018-01-08
rsample,2021-05-08,2017-07-08
Rsampletrees,2020-08-27,2015-02-02
RSAP,2018-09-21,2013-02-02
rSARP,2018-11-01,2016-05-25
rsatscan,2015-03-17,2015-02-08
rsBayes,2020-09-29,2020-09-14
rsbml,2008-03-26,2007-03-27
RSC,2020-07-24,2020-07-04
rSCA,2020-01-15,2014-05-03
RSCABS,2020-05-01,2016-08-12
rscala,2020-04-05,2015-03-06
RScaLAPACK,2012-07-25,2004-04-06
RSCAT,2021-05-16,2019-04-12
RScelestial,2020-03-23,2019-11-28
rscielo,2020-04-03,2019-08-22
RSclient,2015-07-28,2012-11-05
rsconnect,2021-05-24,2016-03-20
rscontract,2020-12-15,2019-10-06
rscopus,2019-09-17,2015-11-04
rscorecard,2021-01-13,2016-03-26
rscproxy,2017-04-07,2008-08-14
RSDA,2021-01-27,2013-05-29
rsdepth,2014-06-04,2011-04-11
rsdmx,2021-02-07,2014-08-27
RSE,2018-11-20,2018-10-19
rSEA,2020-03-23,2018-11-30
RSearchYJ,2013-12-21,2010-06-25
rsed,2020-01-26,2017-11-20
RSeed,2016-10-07,2012-05-04
rseedcalc,2015-07-03,2012-10-29
RSEIS,2020-08-27,2008-01-23
RSelenium,2020-01-31,2014-03-16
rsem,2020-04-21,2011-10-04
RSentiment,2018-07-27,2016-05-04
RSeqMeth,2011-04-13,2008-04-02
Rserve,2019-04-15,2006-11-16
rsetse,2021-06-11,2020-11-12
rsf,2020-04-10,2019-09-04
rSFA,2014-12-17,2012-01-29
rsgcc,2020-03-07,2012-03-13
Rsge,2013-03-15,2008-09-05
rsggm,2019-10-16,2015-08-21
RSGHB,2019-07-03,2013-02-14
RSiena,2021-05-10,2009-06-27
rsig,2018-05-24,2013-10-12
RsimMosaic,2017-04-03,2014-06-21
rsimsum,2021-05-21,2018-02-05
rsinaica,2019-02-04,2018-05-22
RSiteCatalyst,2019-11-05,2013-04-09
RSiteSearch,2012-10-29,2009-04-29
RSKC,2016-08-28,2011-11-03
rskey,2020-06-05,2019-06-18
rsleep,2020-06-03,2019-07-28
rslp,2020-05-11,2016-07-19
rslurm,2021-04-22,2016-05-28
rsm,2020-09-04,2008-12-01
RSmallTelescopes,2021-02-17,2020-09-23
RSmartlyIO,2019-01-21,2016-07-06
rsmatrix,2021-01-24,2020-08-27
RSMET,2018-05-09,2016-03-17
rsml,2017-12-17,2014-10-23
Rsmlx,2021-01-19,2018-06-21
rsMove,2020-07-14,2017-07-15
RSNNS,2019-09-17,2010-11-15
rsnps,2020-08-28,2013-11-13
RSNPset,2021-02-24,2014-06-10
RSocrata,2019-10-16,2013-09-13
RSofia,2016-08-15,2011-11-28
rsoi,2020-07-23,2017-04-04
Rsolnp,2015-12-28,2010-03-05
rsolr,2021-04-22,2017-04-10
Rsomoclu,2020-05-02,2014-04-07
rspa,2019-06-19,2012-09-21
rSPACE,2018-01-04,2014-12-16
rSPARCS,2020-11-15,2018-12-09
rsparkling,2020-01-29,2017-01-24
rsparse,2020-04-01,2019-04-12
rSPDE,2021-02-23,2019-08-20
rspear,2015-11-11,2012-12-26
RSpectra,2019-12-01,2016-02-29
RSpincalc,2014-12-07,2014-02-11
Rspotify,2018-08-13,2018-08-07
rsppfp,2019-02-19,2018-11-20
rsprng,2015-03-27,2002-04-26
rsq,2021-03-03,2016-05-27
RSQL,2020-07-05,2020-02-05
RSQLite,2021-04-22,2001-11-03
RSQLite.extfuns,2014-10-29,2010-05-30
rsqliteadmin,2021-03-11,2021-01-25
RSQLServer,2018-04-10,2014-10-10
rSQM,2018-01-12,2017-09-25
Rssa,2020-11-19,2011-03-14
RsSimulx,2021-04-08,2021-01-21
RSSL,2020-11-13,2016-09-15
RSSOP,2016-08-30,2016-08-29
rstac,2021-04-16,2020-12-14
rstackdeque,2015-04-13,2014-12-05
RStackExchange,2011-11-03,2011-05-25
rstan,2020-07-27,2015-07-18
rstanarm,2020-07-20,2016-01-09
rstanemax,2020-11-24,2019-05-31
rstansim,2018-12-30,2017-09-21
rstantools,2020-07-06,2016-11-20
rstap,2019-02-06,2019-01-03
RStars,2017-03-20,2014-12-04
RStata,2016-10-27,2015-12-07
rstatix,2021-02-13,2019-05-27
rstatscn,2019-04-25,2015-11-25
Rstem,2012-03-16,2004-08-05
rstiefel,2019-02-20,2012-01-12
RStoolbox,2019-07-24,2015-09-05
RStorm,2018-11-29,2013-08-28
RstoxData,2021-05-13,2020-11-18
rstpm2,2021-03-03,2015-07-26
rstream,2020-02-03,2005-04-01
Rstreams,2008-02-16,2000-07-31
rstudioapi,2020-11-12,2014-03-27
rsubgroup,2021-02-23,2014-08-06
RSuite,2021-05-16,2018-07-13
Rsundials,2017-03-26,2012-10-29
rsunlight,2019-07-20,2014-08-20
rsurface,2018-05-18,2017-09-26
rsurfer,2017-10-30,2017-05-03
Rsurrogate,2021-05-08,2015-10-23
RSurveillance,2018-12-17,2014-12-08
RSurvey,2018-04-11,2009-03-01
rsvd,2021-04-16,2015-11-13
rsvg,2021-05-03,2016-01-15
RSvgDevice,2014-04-25,2002-12-17
RSVGTipsDevice,2016-07-24,2007-05-02
RSwissMaps,2019-06-09,2017-10-03
rSymbiota,2020-01-31,2019-07-07
Rsymphony,2021-04-06,2010-07-06
rSymPy,2019-02-02,2008-12-30
rsyncrosim,2021-02-16,2020-06-04
rsyntax,2020-11-16,2020-06-02
rsyslog,2021-06-04,2018-07-02
rt,2021-05-15,2020-04-27
rtable,2018-07-16,2015-03-24
rTableICC,2018-05-15,2015-03-23
rtape,2012-07-31,2011-05-11
RTAQ,2013-02-23,2011-04-24
RTaxometrics,2021-03-21,2017-05-30
RTCC,2020-06-12,2020-03-31
RTConnect,2013-10-17,2013-06-11
RTD,2020-07-27,2019-01-02
RTDAmeritrade,2014-01-01,2012-05-11
RTDE,2020-01-08,2014-07-17
rtdists,2020-03-06,2014-12-07
rtematres,2013-08-23,2013-08-13
rtemps,2020-11-04,2020-03-08
rTensor,2021-05-05,2014-01-28
RTest,2020-04-09,2018-08-24
rtext,2021-01-28,2016-11-01
Rtextrankr,2020-02-01,2016-08-27
RtextSummary,2020-01-28,2019-06-07
RTextTools,2019-03-05,2011-08-16
RTextureMetrics,2014-04-19,2014-01-04
rtf,2020-03-22,2011-09-05
rtfbs,2020-03-03,2011-07-23
Rthingsboard,2021-01-21,2021-01-15
rticles,2021-03-04,2016-01-05
rtide,2021-05-29,2016-09-03
rtiff,2021-01-20,2006-01-01
rtika,2021-05-22,2018-05-02
rtimes,2019-07-20,2015-10-08
rtimicropem,2019-05-15,2017-08-02
rtip,2018-04-12,2016-06-02
RTisean,2014-05-17,2006-07-19
rtk,2020-06-13,2016-08-10
rtkore,2018-10-01,2015-11-24
rtkpp,2016-11-29,2014-10-21
RTL,2021-04-07,2020-02-23
rTLS,2021-05-11,2021-03-16
rtmpt,2021-06-03,2019-10-07
rTOFsPRO,2012-11-01,2010-07-29
RTOMO,2018-01-18,2008-01-23
rtop,2018-04-06,2013-05-03
rTorch,2020-10-12,2019-08-05
Rtrack,2020-05-04,2019-11-06
RTransferEntropy,2021-04-02,2018-07-26
RTransProb,2020-05-19,2017-04-11
rtrek,2021-06-01,2018-06-06
RTriangle,2018-01-31,2014-08-08
rtrie,2018-02-05,2017-01-05
rtrim,2020-04-09,2016-11-28
rTRNG,2021-01-31,2019-05-03
rts,2019-02-03,2012-11-12
rtsdata,2020-01-24,2018-10-26
Rtsne,2018-11-10,2014-05-27
rtson,2016-08-26,2015-11-25
rtsplot,2020-03-29,2018-05-29
rtsVis,2021-05-26,2021-02-24
Rttf2pt1,2020-01-10,2014-03-14
Rtts,2019-08-09,2015-05-26
RTTWebClient,2021-03-24,2021-02-19
RtutoR,2018-07-16,2016-03-12
rtv,2012-07-09,2009-02-08
rtweet,2020-01-09,2016-08-01
rtype,2014-08-15,2014-08-02
rtypeform,2020-08-31,2016-03-31
rubias,2021-01-15,2018-01-29
Ruchardet,2019-03-02,2013-12-16
rucm,2015-11-05,2014-08-26
rucrdtw,2020-03-04,2016-11-07
rugarch,2020-07-16,2011-09-04
ruimtehol,2020-11-29,2019-01-08
ruler,2020-11-25,2017-11-26
rules,2021-01-16,2020-05-20
rumidas,2021-02-01,2020-09-22
rUnemploymentData,2021-03-27,2015-01-04
runes,2020-05-29,2020-02-22
runexp,2021-03-22,2021-02-15
RUnit,2018-05-18,2004-06-11
runittotestthat,2020-07-17,2015-06-24
Runiversal,2012-08-01,2010-07-30
runjags,2021-03-02,2008-09-01
runner,2021-04-22,2018-08-31
runStat,2008-02-16,2002-09-11
runstats,2019-11-14,2019-03-13
Runuran,2020-11-01,2007-05-15
RunuranGUI,2020-05-20,2010-10-26
rusda,2016-04-03,2015-11-13
rusk,2018-05-27,2018-02-21
rust,2021-06-03,2016-10-10
ruta,2019-03-18,2018-05-08
ruv,2019-08-30,2014-10-24
RUVIIIC,2021-04-23,2020-09-04
rv,2020-02-03,2005-11-17
RVA,2021-02-13,2020-12-10
RVAideMemoire,2021-01-27,2011-03-14
rvalues,2021-03-11,2014-07-24
Rvcg,2021-01-11,2014-01-21
rvcheck,2020-03-01,2016-06-17
Rvelslant,2013-12-21,2012-10-29
RVenn,2019-07-18,2019-05-08
rversions,2021-05-31,2015-04-22
rvertnet,2021-05-13,2012-11-23
rvest,2021-03-09,2014-11-22
RVFam,2015-03-10,2015-02-19
rvg,2020-07-01,2016-01-06
rvgtest,2020-11-15,2010-07-24
rvHPDT,2014-05-14,2013-07-04
RViennaCL,2019-05-28,2015-10-31
rviewgraph,2021-05-12,2018-07-27
rvinecopulib,2021-01-06,2017-08-30
RVIpkg,2021-01-28,2020-09-25
rvkstat,2021-04-07,2019-07-28
rvmbinary,2012-12-22,2011-04-11
rvmethod,2020-08-10,2020-06-04
Rvmmin,2021-04-18,2010-04-04
RVowpalWabbit,2020-08-07,2011-09-20
RVPedigree,2018-07-03,2016-01-20
rvsel,2017-04-24,2016-05-31
RVsharing,2018-08-05,2013-10-05
RVtests,2013-05-28,2012-07-14
rwalkr,2021-02-05,2017-08-01
rwars,2020-04-13,2017-01-14
Rwave,2018-01-20,2001-07-12
rwavelet,2020-12-12,2018-09-12
rwc,2018-05-24,2017-09-07
RWDataPlyr,2020-04-17,2018-08-16
RWeather,2016-05-01,2011-11-25
RWebLogo,2014-08-10,2014-03-20
RWebMA,2013-12-21,2010-06-30
rwebstat,2020-04-14,2019-05-24
RWeightedKmeans,2019-03-20,2018-10-26
RWeka,2020-08-23,2006-01-13
RWekajars,2019-10-19,2010-09-06
rwhatsapp,2020-09-19,2019-09-23
Rwhois,2021-05-08,2018-10-20
RWiener,2020-05-04,2013-08-07
RWildbook,2018-04-06,2016-12-01
rWind,2020-02-17,2016-12-03
RWinEdt,2017-01-05,2005-05-19
Rwinsteps,2019-01-31,2011-09-02
rwirelesscom,2017-04-16,2015-08-17
rWishart,2019-11-20,2017-11-09
rwm,2014-08-26,2008-08-23
rWMBAT,2012-07-09,2009-09-21
Rwofost,2021-05-27,2020-03-20
rworldmap,2016-02-03,2010-01-06
RWsearch,2021-06-05,2019-03-27
rwt,2014-06-24,2004-11-17
rwty,2019-02-15,2016-06-11
rwunderground,2018-05-01,2015-08-29
RxCEcolInf,2019-03-18,2012-06-03
rxivistr,2020-12-10,2020-10-17
RXKCD,2020-02-24,2011-07-23
RXMCDA,2015-12-11,2011-04-01
Rxnat,2020-09-15,2019-03-29
RxnSim,2017-07-25,2015-03-12
RxODE,2021-05-11,2015-10-21
RXshrink,2021-04-02,2005-10-16
rxylib,2020-09-14,2017-06-30
Ryacas,2020-11-15,2007-05-01
Ryacas0,2020-09-29,2019-10-09
ryandexdirect,2020-06-09,2019-04-30
rym,2020-08-12,2018-09-15
ryouready,2015-12-03,2013-12-15
rYoutheria,2016-04-12,2014-07-28
rysgran,2021-02-05,2011-03-15
Rz,2018-03-21,2011-04-03
rzeit2,2020-06-15,2018-07-19
RZigZag,2019-07-20,2017-10-17
rzmq,2021-05-04,2011-09-30
RZooRoH,2021-05-22,2018-06-19
s2,2021-06-01,2016-11-04
s20x,2021-01-07,2008-02-12
s2dv,2020-11-16,2020-03-08
s2dverification,2020-11-01,2014-05-19
s2net,2020-01-16,2020-01-13
s3x,2013-03-01,2011-05-25
s4vd,2015-11-19,2011-07-23
Sabermetrics,2017-03-26,2015-02-07
sabre,2021-06-03,2018-04-23
sabreR,2013-07-26,2009-04-01
sac,2021-01-27,2005-05-06
saccades,2015-03-18,2014-10-04
SACCR,2020-08-24,2015-10-11
SACOBRA,2020-03-26,2015-08-25
SADISA,2019-10-23,2017-04-22
sadists,2020-06-26,2015-03-05
sads,2018-06-17,2014-07-02
sae,2020-03-01,2013-04-04
sae2,2020-02-19,2015-01-26
saeME,2020-11-02,2020-03-20
saemix,2021-02-24,2011-06-30
SAENET,2018-05-03,2015-02-03
saeRobust,2018-03-27,2016-05-16
saeSim,2019-03-28,2014-10-22
SAFD,2019-07-03,2009-10-23
SafeBayes,2020-05-19,2016-05-23
safeBinaryRegression,2013-12-24,2009-07-22
safedata,2020-11-18,2020-06-02
SafeQuant,2020-04-09,2016-01-06
safer,2018-07-24,2017-04-21
safetyGraphics,2020-01-15,2019-02-04
safi,2018-06-17,2014-10-28
SAGA,2018-03-05,2015-09-07
SAGMM,2019-06-29,2019-05-09
SAGx,2008-02-16,2005-07-01
SailoR,2020-09-24,2019-10-11
salesforcer,2020-09-09,2018-04-13
salso,2021-05-13,2019-09-21
SALTSampler,2017-08-10,2015-11-03
SAM,2019-07-02,2012-10-15
samc,2021-04-01,2019-08-21
SAMCpack,2020-04-09,2018-10-25
SAMM,2018-12-06,2016-05-12
samon,2020-01-11,2017-08-16
sampfling,2013-01-11,2003-05-21
sampler,2019-09-15,2018-05-31
SamplerCompare,2018-09-10,2010-09-15
sampleSelection,2020-12-15,2008-02-27
samplesize,2016-12-24,2010-01-10
SampleSize4ClinicalTrials,2021-01-09,2017-09-17
samplesize4surveys,2020-01-17,2014-03-11
samplesizelogisticcasecontrol,2017-02-04,2016-09-20
SampleSizeMeans,2012-12-10,2009-12-18
sampling,2021-01-13,2005-05-20
samplingbook,2021-04-02,2010-04-13
samplingEstimates,2014-05-13,2013-07-24
SamplingStrata,2020-03-02,2011-04-29
samplingVarEst,2019-07-26,2012-10-30
sampSurf,2021-03-05,2011-06-30
samr,2018-07-20,2005-06-01
SAMtool,2021-03-09,2021-01-22
SAMURAI,2013-09-11,2012-12-19
sand,2020-07-02,2014-04-24
sandwich,2021-05-18,2004-02-20
sankey,2017-10-22,2015-12-18
sanon,2019-12-21,2013-04-30
santoku,2020-08-27,2020-01-24
SanzCircos,2020-05-01,2018-05-04
saotd,2020-06-15,2019-04-04
sapa,2020-06-09,2007-09-06
sapevom,2021-02-01,2020-12-07
sapfluxnetr,2020-08-27,2019-03-29
SAPP,2020-06-03,2010-07-02
saps,2015-04-18,2014-10-08
saqgetr,2021-01-12,2019-06-28
SAR,2020-10-07,2019-02-01
sara4r,2021-03-11,2020-01-30
sarima,2020-09-29,2017-02-06
SARP.compo,2021-05-15,2018-01-05
SARP.moodle,2021-02-26,2017-02-19
sars,2021-05-24,2018-08-13
sarsop,2021-01-06,2020-06-26
sas7bdat,2014-06-04,2011-06-15
SAScii,2012-08-17,2012-03-07
sasLM,2021-05-14,2020-04-22
SASmarkdown,2017-11-30,2017-07-10
SASmixed,2014-03-11,2000-02-12
sass,2021-05-12,2019-06-11
sassy,2021-03-14,2021-02-04
SASxport,2020-03-10,2007-10-03
satellite,2019-12-09,2015-07-22
satin,2012-07-01,2010-10-14
satscanMapper,2018-05-09,2017-06-15
saturnin,2015-07-23,2015-04-12
SAVE,2015-03-20,2013-04-09
SAVER,2019-11-13,2018-10-14
saves,2013-12-27,2011-01-25
savonliquide,2021-02-22,2020-12-07
saws,2019-12-16,2010-03-01
