Package,Score,RStudio,Days up,Total dl,Median dl,Mean dl
MVQuickGraphs,0.14,0,467,8514,18,18
adventr,0.14,0,400,7217,16,18
rtemps,0.14,0,458,8331,17,18
keyATM,0.14,0,420,7597,16,18
nsdr,0.14,0,29,455,10,15
dccvalidator,0.14,0,500,9138,17,18
psymetadata,0.14,0,9,141,8,14
mmr,0.14,0,309,5477,18,18
sad,0.14,0,215,3725,19,17
LFDR.MME,0.14,0,201,3465,19,17
edgedata,0.14,0,411,7404,18,18
autoFC,0.14,0,2,39,7,13
fullROC,0.14,0,147,2485,20,17
DysPIAData,0.14,0,358,6389,18,18
sknifedatar,0.14,0,20,310,13,15
chromseq,0.14,0,394,7071,18,18
randChecks,0.14,0,141,2376,19,17
r5r,0.13,0,264,4617,15,17
trendeval,0.13,0,201,3457,15,17
DSSAT,0.13,0,447,8075,17,18
parzer,0.13,0,447,8075,17,18
causaloptim,0.13,0,446,8055,17,18
autota,0.13,0,446,8054,17,18
seer,0.13,0,474,8591,16,18
bspm,0.13,0,312,5507,13,18
eadrm,0.13,0,407,7303,18,18
blocklength,0.13,0,104,1719,15,16
motif,0.13,0,124,2070,15,17
leidenAlg,0.13,0,210,3613,15,17
IsoplotRgui,0.13,0,217,3739,15,17
CallEshotgun,0.13,0,9,140,9,14
vectools,0.13,0,517,9396,17,18
kNNvs,0.13,0,28,435,11,15
RprobitB,0.13,0,25,387,9,15
bp,0.13,0,113,1870,15,16
fwildclusterboot,0.13,0,113,1870,15,16
DiversificationR,0.13,0,118,1957,19,16
wilcoxmed,0.13,0,135,2256,19,17
caracas,0.13,0,500,9053,17,18
msaeDB,0.13,0,151,2538,15,17
aglm,0.13,0,0,12,12,12
mcboost,0.13,0,0,12,12,12
tramME,0.13,0,445,7992,15,18
affinity,0.13,0,7,110,10,14
amapGeocode,0.13,0,251,4345,15,17
aceEditor,0.13,0,230,3959,16,17
RSmallTelescopes,0.13,0,259,4489,18,17
kerTests,0.13,0,201,3430,19,17
colorDF,0.13,0,348,6137,16,18
AOV1R,0.13,0,211,3606,16,17
monobin,0.12,0,9,139,7,14
shinybrms,0.12,0,440,7862,16,18
dbnR,0.12,0,446,7976,17,18
clinUtils,0.12,0,1,25,12,12
Rsfar,0.12,0,30,464,12,15
HRM.curve,0.12,0,173,2917,18,17
archiveRetriever,0.12,0,91,1479,15,16
dataReporter,0.12,0,177,2986,16,17
act,0.12,0,217,3706,15,17
reactablefmtr,0.12,0,110,1805,15,16
globalKinhom,0.12,0,257,4429,12,17
httpproblems,0.12,0,117,1924,19,16
meedr,0.12,0,83,1339,15,16
PAMA,0.12,0,513,9222,17,18
codename,0.12,0,56,885,12,16
sparta,0.12,0,237,4059,15,17
SoundShape,0.12,0,223,3804,12,17
liminal,0.12,0,12,183,10,14
gitdown,0.12,0,30,462,12,15
CenBAR,0.12,0,469,8373,17,18
mailmerge,0.12,0,58,917,12,16
thematic,0.12,1,144,19227,79,133
adobeanalyticsr,0.12,0,100,1625,16,16
tidypaleo,0.12,0,70,1116,14,16
bqror,0.12,0,469,8364,16,18
accucor,0.12,0,58,916,15,16
BBSSL,0.12,0,43,670,11,15
Snake,0.12,0,228,3884,19,17
ausplotsR,0.12,0,217,3685,15,17
bootUR,0.12,0,349,6103,16,17
BayesGPfit,0.12,0,475,8462,17,18
RClimacell,0.12,0,114,1861,14,16
bcmixed,0.12,0,464,8248,17,18
UComp,0.12,0,365,6389,15,17
bioC.logs,0.11,0,486,8660,17,18
gsbm,0.11,0,467,8300,18,18
pcts,0.11,0,517,9243,17,18
boot.pval,0.11,0,8,123,10,14
ISRaD,0.11,0,486,8649,17,18
clifford,0.11,0,496,8834,17,18
onlineCOV,0.11,0,443,7831,18,18
nJira,0.11,0,464,8226,14,18
Q2q,0.11,0,198,3329,19,17
clipp,0.11,0,338,5873,17,17
mvrsquared,0.11,0,475,8432,17,18
fad,0.11,0,502,8942,17,18
aof,0.11,0,457,8092,17,18
DSpoty,0.11,0,510,9093,15,18
DockerParallel,0.11,0,36,554,13,15
appler,0.11,0,96,1547,16,16
moreparty,0.11,0,403,7074,16,18
edbuildr,0.11,0,447,7896,17,18
binGroup2,0.11,0,428,7537,17,18
missMethods,0.11,0,434,7648,17,18
gadget2,0.11,0,453,8003,17,18
SSLR,0.11,0,446,7869,16,18
qra,0.11,0,2,38,9,13
bumblebee,0.11,0,29,442,11,15
openSkies,0.11,0,218,3677,15,17
sportyR,0.11,0,51,794,12,15
timsr,0.11,0,36,552,13,15
aghq,0.11,0,142,2330,16,16
midasml,0.11,0,349,6047,12,17
mde,0.11,0,466,8221,16,18
nnGarrote,0.11,0,467,8237,17,18
bestridge,0.11,0,113,1828,14,16
dataresqc,0.11,0,460,8102,17,18
sparklyr.flint,0.11,0,289,4943,14,17
deepdep,0.11,0,460,8100,17,18
naijR,0.11,0,484,8550,16,18
terrainr,0.11,0,106,1707,16,16
chronicle,0.11,0,139,2273,15,16
extRC,0.11,0,513,9090,17,18
statespacer,0.11,0,389,6770,16,17
onlineretail,0.11,0,201,3358,19,17
bartBMA,0.11,0,453,7959,17,18
nhs.predict,0.11,0,365,6326,18,17
Taba,0.1,0,508,8985,17,18
BSSprep,0.1,0,72,1134,14,16
sgpv,0.1,0,338,5824,18,17
popgenr,0.1,0,342,5897,17,17
classmap,0.1,0,30,455,12,15
CPGLIB,0.1,0,30,455,12,15
Dict,0.1,0,372,6447,16,17
ROCnReg,0.1,0,447,7836,16,17
gpindex,0.1,0,360,6223,17,17
ambiorix,0.1,0,133,2164,15,16
RoBMA,0.1,0,307,5253,15,17
FaultTree,0.1,0,446,7812,17,17
mapboxapi,0.1,0,247,4168,16,17
tcftt,0.1,0,321,5505,18,17
cmfrec,0.1,0,198,3293,15,17
SRS,0.1,0,282,4792,15,17
wrProteo,0.1,0,518,9137,15,18
RcppFastFloat,0.1,0,124,2003,17,16
geofabrik,0.1,0,287,4875,18,17
weibull4,0.1,0,265,4476,18,17
biblionetwork,0.1,0,61,948,14,15
animaltracker,0.1,0,441,7686,16,17
LSMRealOptions,0.1,0,139,2257,14,16
glmglrt,0.1,0,447,7796,17,17
switchcase,0.1,0,397,6871,17,17
gateR,0.1,0,211,3511,15,17
RHSDB,0.1,0,175,2879,19,16
BinMat,0.1,0,466,8141,17,17
RVIpkg,0.1,0,257,4322,17,17
acumos,0.1,0,237,3965,16,17
GenomeAdmixR,0.1,0,139,2252,14,16
SolveSAPHE,0.1,0,92,1456,17,16
leaflegend,0.1,0,135,2182,14,16
HSEtest,0.1,0,30,451,9,15
icecream,0.09,0,9,135,8,14
GLMcat,0.09,0,173,2833,14,16
exploratory,0.09,0,48,734,13,15
stevedata,0.09,0,195,3216,13,16
CompAREdesign,0.09,0,182,2989,17,16
bRacatus,0.09,0,239,3990,15,17
eatTools,0.09,0,265,4451,15,17
cort,0.09,0,434,7515,16,17
AtmChile,0.09,0,36,543,13,15
dppmix,0.09,0,512,8949,17,17
BNrich,0.09,0,446,7727,17,17
cspec,0.09,0,345,5880,17,17
interactionR,0.09,0,428,7394,16,17
campfin,0.09,0,216,3576,15,16
mully,0.09,0,203,3348,14,16
wrGraph,0.09,0,372,6369,15,17
MVNtestchar,0.09,0,436,7534,16,17
circacompare,0.09,0,121,1934,14,16
CBSr,0.09,0,473,8212,17,17
QuadRoot,0.09,0,151,2443,19,16
activityGCMM,0.09,0,86,1347,15,15
PHInfiniteEstimates,0.09,0,478,8296,16,17
fragility,0.09,0,428,7376,17,17
swimplot,0.09,0,135,2168,15,16
dataquieR,0.09,0,134,2151,16,16
multiverse,0.09,0,8,120,8,13
birankr,0.09,0,500,8700,17,17
einsum,0.09,0,22,326,10,14
Rdrw,0.09,0,397,6804,17,17
gpboost,0.09,0,112,1778,13,16
VARDetect,0.09,0,23,341,10,14
readsparse,0.09,0,64,986,13,15
AdvancedBasketballStats,0.09,0,113,1794,15,16
featureCorMatrix,0.09,0,378,6453,17,17
preferably,0.09,0,48,729,12,15
bggum,0.09,0,517,8998,17,17
DTAplots,0.09,0,84,1311,15,15
dgumbel,0.09,0,427,7341,17,17
gratis,0.09,0,310,5222,16,17
crandep,0.09,0,389,6646,15,17
spidR,0.09,0,83,1294,11,15
ProbSamplingI,0.09,0,92,1442,17,16
tastypie,0.09,0,119,1892,16,16
bhmbasket,0.09,0,114,1808,14,16
MLpreemption,0.09,0,118,1875,19,16
fmpcloudr,0.09,0,218,3589,14,16
tablet,0.09,0,152,2448,15,16
saeME,0.08,0,446,7670,15,17
SportsTour,0.08,0,29,431,9,14
akiFlagger,0.08,0,187,3047,14,16
tsapp,0.08,0,446,7665,15,17
PupillometryR,0.08,0,493,8523,17,17
fpcb,0.08,0,2,37,8,12
geonet,0.08,0,2,37,10,12
ecotraj,0.08,0,1,24,12,12
disastr.api,0.08,0,155,2492,14,16
MCBackscattering,0.08,0,397,6761,17,17
geofi,0.08,0,104,1634,15,16
FESta,0.08,0,394,6699,17,17
CustosAscensor,0.08,0,343,5778,17,17
MLGdata,0.08,0,252,4163,18,16
basf,0.08,0,420,7162,16,17
highMLR,0.08,0,29,429,12,14
ccmReportR,0.08,0,141,2249,15,16
synthesis,0.08,0,216,3533,11,16
fplyr,0.08,0,450,7701,16,17
CSGo,0.08,0,82,1268,13,15
braggR,0.08,0,47,707,12,15
log,0.08,0,146,2330,15,16
HeterFunctionalData,0.08,0,293,4874,17,17
aRbs,0.08,0,197,3198,14,16
tzupdater,0.08,0,301,5013,17,17
redoc,0.08,0,124,1958,15,16
shutterplot,0.08,0,117,1841,19,16
chirps,0.08,0,341,5721,16,17
DUBStepR,0.08,0,86,1330,12,15
leafdown,0.08,0,41,612,12,15
arctools,0.08,0,194,3142,15,16
cora,0.08,0,239,3920,17,16
zdeskR,0.08,0,289,4794,12,17
covid19br,0.08,0,253,4162,15,16
ldaPrototype,0.08,0,516,8873,16,17
AQLSchemes,0.08,0,421,7146,16,17
ExcelFunctionsR,0.08,0,352,5907,15,17
HistDat,0.08,0,68,1037,12,15
popPCR,0.07,0,98,1523,15,15
clinmon,0.07,0,253,4156,17,16
timedeppar,0.07,0,336,5617,17,17
repana,0.07,0,23,336,12,14
MQMF,0.07,0,447,7601,16,17
adsDataHubR,0.07,0,121,1900,15,16
CCWeights,0.07,0,13,189,8,14
rAmCharts4,0.07,0,289,4778,15,16
mbsts,0.07,0,517,8865,16,17
gotop,0.07,0,421,7125,15,17
GALLO,0.07,0,281,4635,13,16
metapower,0.07,0,428,7240,15,17
plpoisson,0.07,0,370,6200,16,17
openmetrics,0.07,0,421,7107,15,17
cometr,0.07,0,420,7089,16,17
smoothedLasso,0.07,0,432,7301,15,17
binovisualfields,0.07,0,456,7733,16,17
codalm,0.07,0,349,5819,15,17
ggDCA,0.07,0,289,4762,15,16
glvmfit,0.07,0,265,4342,17,16
GetDFPData2,0.07,0,77,1174,14,15
evalITR,0.07,0,475,8067,17,17
eventTrack,0.07,0,30,439,11,14
czso,0.07,0,428,7219,15,17
PlaneGeometry,0.07,0,484,8226,16,17
biogrowth,0.07,0,230,3730,15,16
RcppBigIntAlgos,0.07,0,412,6928,15,17
rRofex,0.07,0,385,6445,14,17
gglm,0.07,0,244,3970,15,16
gofgamma,0.07,0,406,6818,17,17
sams,0.07,0,287,4716,17,16
acroname,0.07,0,135,2119,15,16
rtrend,0.07,0,29,423,11,14
skewlmm,0.07,0,464,7848,16,17
rNeighborGWAS,0.07,0,420,7056,16,17
FSM,0.07,0,91,1395,15,15
anticlust,0.06,0,345,5722,15,17
intmed,0.06,0,465,7855,17,17
HDSpatialScan,0.06,0,19,274,13,14
vsd,0.06,0,29,422,13,14
RedisBaseContainer,0.06,0,28,407,10,14
unheadr,0.06,0,486,8227,15,17
UnifiedDoseFinding,0.06,0,336,5556,17,16
bfsMaps,0.06,0,440,7400,15,17
testarguments,0.06,0,12,173,9,13
CoOL,0.06,0,117,1815,14,15
RstoxData,0.06,0,203,3251,14,16
AnchorRegression,0.06,0,189,3010,15,16
BinaryDosage,0.06,0,513,8693,16,17
gfilmm,0.06,0,216,3465,14,16
npregderiv,0.06,0,336,5539,17,16
daySupply,0.06,0,41,602,10,14
r2mlm,0.06,0,257,4166,15,16
CEDARS,0.06,0,122,1890,15,15
mnonr,0.06,0,484,8150,15,17
MultiHorizonSPA,0.06,0,64,957,12,15
groupWQS,0.06,0,428,7146,16,17
shinipsum,0.06,0,405,6738,15,17
CDSeq,0.06,0,119,1838,15,15
doconv,0.06,0,71,1066,10,15
ggimg,0.06,0,446,7462,16,17
Ecume,0.06,0,112,1723,16,15
ecostatscale,0.06,0,34,494,12,14
colorist,0.06,0,440,7352,16,17
NobBS,0.06,0,463,7760,16,17
dmdScheme,0.06,0,516,8706,15,17
pixarfilms,0.06,0,89,1351,13,15
shorts,0.06,0,412,6851,15,17
ez.combat,0.06,0,2,36,8,12
GaSP,0.06,0,2,36,9,12
spoiler,0.06,0,2,36,8,12
diversityForest,0.06,0,518,8733,16,17
frenchdata,0.05,0,22,315,12,14
mockthat,0.05,0,182,2872,12,16
MLPA,0.05,0,404,6692,17,17
LWFBrook90R,0.05,0,120,1846,14,15
TopDom,0.05,0,34,492,12,14
MDMAPR,0.05,0,103,1569,13,15
pliman,0.05,0,25,358,12,14
tidyCpp,0.05,0,242,3874,15,16
bioseq,0.05,0,317,5160,15,16
categoryEncodings,0.05,0,464,7733,16,17
gbm.auto,0.05,0,114,1744,14,15
ot,0.05,0,379,6231,17,16
convergEU,0.05,0,453,7530,16,17
re2,0.05,0,37,535,12,14
dataprep,0.05,0,149,2311,14,15
NADA2,0.05,0,105,1596,14,15
ECSFargateProvider,0.05,0,22,313,10,14
datagovindia,0.05,0,62,915,13,15
htestClust,0.05,0,345,5620,15,16
BRACoD.R,0.05,0,23,327,10,14
elsa,0.05,0,447,7398,16,17
joyn,0.05,0,68,1007,11,15
hettreatreg,0.05,0,392,6429,17,16
markdownInput,0.05,0,495,8239,16,17
apisensr,0.05,0,90,1352,14,15
YatesAlgo.FactorialExp.SR,0.05,0,42,608,14,14
colorBlindness,0.05,0,450,7442,15,17
MTPS,0.05,0,489,8129,16,17
BED,0.04,0,155,2400,14,15
eimpute,0.04,0,446,7369,15,16
graph3d,0.04,0,301,4850,15,16
envi,0.04,0,169,2628,15,15
bnmonitor,0.04,0,121,1845,14,15
i2dash,0.04,0,380,6208,13,16
bkmrhat,0.04,0,266,4248,15,16
gawdis,0.04,0,216,3405,14,16
mosmafs,0.04,0,504,8376,16,17
mitre,0.04,0,195,3054,13,16
lphom,0.04,0,7,101,7,13
influenceAUC,0.04,0,495,8213,16,17
plu,0.04,0,365,5938,13,16
partR2,0.04,0,142,2181,15,15
MIMSunit,0.04,0,464,7661,15,16
recodeflow,0.04,0,0,11,11,11
doseminer,0.04,0,28,398,12,14
FFdownload,0.04,0,223,3515,15,16
dipm,0.04,0,100,1504,12,15
NAEPirtparams,0.04,0,112,1695,18,15
MASSExtra,0.04,0,180,2800,14,15
artemis,0.04,0,30,427,11,14
SphereOptimize,0.04,0,279,4457,17,16
nimbleCarbon,0.04,0,15,211,9,13
JirAgileR,0.04,0,1,23,11,12
mscp,0.04,0,105,1582,16,15
cry,0.04,0,37,530,11,14
FoReco,0.04,0,251,3980,14,16
m61r,0.04,0,55,801,11,14
tsrobprep,0.04,0,271,4316,12,16
CohortPlat,0.04,0,135,2061,14,15
sbm,0.04,0,337,5438,14,16
predint,0.04,0,28,397,11,14
arenar,0.04,0,317,5093,15,16
peruse,0.04,0,170,2628,15,15
testcorr,0.04,0,466,7667,15,16
lcars,0.04,0,489,8070,16,16
localFDA,0.04,0,252,3988,17,16
nettskjemar,0.04,0,20,281,11,13
semmcmc,0.04,0,44,633,12,14
OVtool,0.04,0,83,1231,13,15
migraph,0.04,0,55,799,12,14
elasdics,0.04,0,60,875,11,14
ShiftConvolvePoibin,0.04,0,401,6524,16,16
LAWBL,0.04,0,321,5149,15,16
BasketballAnalyzeR,0.04,0,348,5609,14,16
qtl2ggplot,0.04,0,14,196,6,13
sendgridr,0.04,0,36,513,12,14
weightedZdiff,0.04,0,295,4705,17,16
rct3,0.04,0,257,4063,17,16
neatStats,0.04,0,475,7803,15,16
VAM,0.03,0,146,2230,15,15
div,0.03,0,34,483,11,14
flipr,0.03,0,113,1700,14,15
ggx,0.03,0,138,2100,13,15
sampsizeval,0.03,0,12,168,9,13
pcalls,0.03,0,403,6544,16,16
postHoc,0.03,0,442,7219,15,16
testtwice,0.03,0,267,4225,17,16
EnvNJ,0.03,0,9,127,7,13
sparseGAM,0.03,0,9,127,7,13
psqn,0.03,0,225,3521,14,16
metropolis,0.03,0,503,8276,16,16
lsdbc,0.03,0,345,5542,16,16
factset.protobuf.stach,0.03,0,512,8432,16,16
ForecastTB,0.03,0,452,7385,16,16
survParamSim,0.03,0,513,8449,15,16
hildareadR,0.03,0,508,8358,16,16
GridOnClusters,0.03,0,446,7275,15,16
AATtools,0.03,0,360,5793,15,16
ced,0.03,0,512,8424,16,16
mdthemes,0.03,0,360,5791,15,16
BioPETsurv,0.03,0,514,8456,16,16
PanelMatch,0.03,0,467,7636,15,16
babsim.hospital,0.03,0,177,2725,13,15
gamblers.ruin.gameplay,0.03,0,28,394,9,14
BayesSPsurv,0.03,0,254,3996,14,16
bignum,0.03,0,26,365,11,14
cronologia,0.03,0,122,1837,14,15
polished,0.03,0,343,5495,15,16
exams2sakai,0.03,0,81,1192,12,15
highDmean,0.03,0,362,5818,16,16
stratallo,0.03,0,380,6125,16,16
cuRe,0.03,0,513,8425,16,16
ggmulti,0.03,0,155,2364,12,15
dsb,0.03,0,121,1819,15,15
pharmaRTF,0.03,0,380,6120,16,16
pchc,0.03,0,338,5399,14,16
CoxR2,0.03,0,447,7265,16,16
psychmetadata,0.03,0,12,167,7,13
precommit,0.03,0,361,5786,15,16
gamlss.lasso,0.03,0,64,928,12,14
mdapack,0.03,0,452,7346,15,16
runexp,0.03,0,114,1704,14,15
trimetStops,0.03,0,286,4514,17,16
DecomposeR,0.03,0,446,7238,15,16
CropScapeR,0.03,0,345,5509,15,16
evabic,0.03,0,458,7445,16,16
bayesforecast,0.03,0,138,2084,14,15
catmaply,0.03,0,275,4328,13,16
Splinets,0.03,0,89,1311,15,15
modelimpact,0.03,0,34,479,12,14
drimmR,0.03,0,79,1156,13,14
triggerstrategy,0.03,0,9,126,7,13
selection.index,0.03,0,64,926,12,14
mipplot,0.03,0,22,306,11,13
tensorTS,0.03,0,49,700,12,14
ontoFAST,0.02,0,41,581,12,14
florestal,0.02,0,338,5378,14,16
survmixer,0.02,0,70,1016,13,14
ipmr,0.02,0,119,1777,15,15
i2extras,0.02,0,222,3439,11,15
RobustLinearReg,0.02,0,362,5779,16,16
CruzPlot,0.02,0,275,4314,14,16
AzureQstor,0.02,0,372,5946,15,16
lcsm,0.02,0,369,5895,14,16
dampack,0.02,0,83,1214,13,14
monotone,0.02,0,91,1337,14,15
DMLLZU,0.02,0,62,893,12,14
covidsymptom,0.02,0,107,1586,13,15
affinitymatrix,0.02,0,195,2993,15,15
hawkesbow,0.02,0,70,1014,11,14
makemyprior,0.02,0,22,305,9,13
FORTLS,0.02,0,100,1476,13,15
DTwrappers,0.02,0,36,506,11,14
simfit,0.02,0,23,319,9,13
sisireg,0.02,0,146,2201,13,15
mcwr,0.02,0,91,1335,14,15
ggbump,0.02,0,411,6597,14,16
dfoliatR,0.02,0,462,7469,15,16
marketr,0.02,0,485,7864,16,16
Disequilibrium,0.02,0,506,8224,16,16
ssimparser,0.02,0,29,404,11,13
gplite,0.02,0,133,1991,14,15
RKorAPClient,0.02,0,453,7307,14,16
kittyR,0.02,0,142,2132,13,15
HotellingEllipse,0.02,0,22,304,9,13
glmtrans,0.02,0,42,592,12,14
cspp,0.02,0,225,3469,14,15
dstack,0.02,0,442,7106,15,16
PSSIM,0.02,0,272,4241,17,16
IsoCorr,0.02,0,251,3894,16,15
ctgt,0.02,0,458,7376,15,16
transformmos,0.02,0,365,5793,16,16
archetyper,0.02,0,84,1222,13,14
regrap,0.02,0,341,5387,16,16
ACEsearch,0.02,0,254,3938,15,15
dabr,0.02,0,216,3315,14,15
mlr3hyperband,0.02,0,226,3477,14,15
words,0.02,0,23,317,8,13
buffeRs,0.02,0,113,1668,13,15
anybadger,0.02,0,131,1950,15,15
MRReg,0.02,0,393,6254,12,16
hrt,0.02,0,42,590,12,14
datasailr,0.01,0,432,6912,15,16
FcircSEC,0.01,0,495,7988,17,16
CompModels,0.01,0,239,3685,13,15
gwaRs,0.01,0,139,2074,14,15
paramlink2,0.01,0,36,502,12,14
danstat,0.01,0,489,7878,16,16
modeltime.gluonts,0.01,0,191,2902,14,15
tidywikidatar,0.01,0,51,721,11,14
GetFREData,0.01,0,64,914,12,14
epwshiftr,0.01,0,337,5293,15,16
glme,0.01,0,135,2006,14,15
crmReg,0.01,0,435,6940,15,16
KMunicate,0.01,0,310,4840,14,16
saekernel,0.01,0,5,72,8,12
standartox,0.01,0,35,486,11,14
H2x2Factorial,0.01,0,124,1831,13,15
cmprskcoxmsm,0.01,0,138,2050,14,15
convdistr,0.01,0,50,704,11,14
seeds,0.01,0,446,7114,15,16
procmaps,0.01,0,271,4189,13,15
OmegaG,0.01,0,97,1411,15,14
heddlr,0.01,0,503,8081,15,16
rdecision,0.01,0,91,1319,13,14
ichimoku,0.01,0,21,287,10,13
CONCUR,0.01,0,441,7022,15,16
purgeR,0.01,0,40,557,11,14
edina,0.01,0,443,7053,14,16
fracture,0.01,0,279,4315,14,15
VulnToolkit,0.01,0,90,1301,13,14
rNeighborQTL,0.01,0,370,5816,13,16
mopac,0.01,0,42,585,11,14
fglsnet,0.01,0,44,614,10,14
hydraulics,0.01,0,387,6098,14,16
freqtables,0.01,0,324,5048,15,16
rsyntax,0.01,0,372,5845,14,16
msaeRB,0.01,0,71,1012,12,14
zoolog,0.01,0,112,1636,13,14
mcmcensemble,0.01,0,235,3586,14,15
basecamb,0.01,0,60,848,11,14
od,0.01,0,273,4204,13,15
precautionary,0,0,324,5041,14,16
mixedCCA,0,0,287,4430,14,15
RobKF,0,0,281,4331,14,15
ProbReco,0,0,295,4559,14,15
ppsr,0,0,99,1434,12,14
AGPRIS,0,0,259,3970,14,15
rtsVis,0,0,105,1525,13,14
future.tests,0,0,446,7068,15,16
starsExtra,0,0,413,6513,14,16
DatastreamDSWS2R,0,0,196,2950,14,15
enerscape,0,0,117,1708,14,14
APCI,0,0,151,2237,14,15
afdx,0,0,15,203,10,13
iNZightPlots,0,0,266,4076,13,15
eurlex,0,0,294,4533,14,15
allcontributors,0,0,189,2836,14,15
data.validator,0,0,100,1446,14,14
icrf,0,0,503,8019,15,16
MDOLS,0,0,85,1218,12,14
psychrolib,0,0,468,7423,15,16
s2dv,0,0,458,7254,15,16
ordinalpattern,0,0,442,6983,15,16
DistributionFitR,0,0,462,7318,15,16
prt,0,0,295,4542,14,15
basifoR,0,0,96,1383,14,14
mapsFinland,0,0,445,7029,15,16
platowork,-0,0,36,495,13,13
boot.heterogeneity,-0,0,397,6224,14,16
csurvey,-0,0,23,312,8,13
geocmeans,-0,0,49,682,12,14
areabiplot,-0,0,91,1306,13,14
autoMrP,-0,0,139,2043,14,15
DIFplus,-0,0,446,7039,15,16
PNSIBGE,-0,0,177,2638,13,15
mustashe,-0,0,438,6902,15,16
glca,-0,0,376,5867,13,16
bigmds,-0,0,142,2088,14,15
rangemap,-0,0,124,1809,14,14
upstartr,-0,0,114,1655,14,14
deepMOU,-0,0,138,2025,14,15
airt,-0,0,393,6143,14,16
eNchange,-0,0,446,7024,15,16
caviarpd,-0,0,5,71,8,12
factormodel,-0,0,5,71,9,12
HDTSA,-0,0,5,71,8,12
rtern,-0,0,42,579,12,13
eatATA,-0,0,267,4068,13,15
fhircrackr,-0,0,334,5158,14,15
loon.shiny,-0,0,30,408,11,13
cropDemand,-0,0,138,2019,13,15
factset.analyticsapi.engines,-0.01,0,493,7798,15,16
DMCfun,-0.01,0,343,5302,14,15
SlidingWindows,-0.01,0,261,3965,14,15
mcmcOutput,-0.01,0,370,5744,15,15
ShinyQuickStarter,-0.01,0,205,3068,13,15
loon.ggplot,-0.01,0,357,5526,13,15
NGLVieweR,-0.01,0,8,109,10,12
FSSF,-0.01,0,495,7817,15,16
aniview,-0.01,0,435,6813,15,16
agtboost,-0.01,0,281,4281,14,15
snap,-0.01,0,29,393,10,13
rgplates,-0.01,0,22,296,10,13
copent,-0.01,0,419,6541,13,16
TriDimRegression,-0.01,0,36,491,12,13
MTAR,-0.01,0,465,7303,15,16
rt,-0.01,0,408,6354,15,16
RMAT,-0.01,0,42,576,11,13
archeofrag,-0.01,0,194,2885,13,15
jsTreeR,-0.01,0,282,4290,14,15
datacleanr,-0.01,0,219,3279,14,15
metapack,-0.01,0,112,1612,13,14
flying,-0.01,0,503,7929,15,16
analyzer,-0.01,0,344,5294,12,15
cgmquantify,-0.01,0,124,1794,13,14
legion,-0.01,0,23,309,9,13
grizbayr,-0.01,0,394,6113,14,15
TrtCombo.FactorialExp.SR,-0.01,0,37,504,9,13
audiometry,-0.01,0,346,5322,14,15
oenb,-0.01,0,447,6986,15,16
RandomForestsGLS,-0.01,0,152,2223,14,15
diseq,-0.01,0,407,6321,13,15
worcs,-0.01,0,387,5991,13,15
brxx,-0.01,0,210,3130,14,15
peacesciencer,-0.01,0,172,2533,13,15
safejoin,-0.01,0,44,603,11,13
demoShiny,-0.01,0,510,8030,15,16
rasterdiv,-0.01,0,411,6381,14,15
BMTAR,-0.01,0,365,5622,14,15
FastCUB,-0.01,0,495,7772,15,16
gaussplotR,-0.01,0,230,3442,14,15
GWnnegPCA,-0.01,0,442,6889,15,16
monoClust,-0.01,0,215,3204,13,15
bumbl,-0.01,0,50,688,12,13
fracdist,-0.01,0,15,200,13,12
glmtoolbox,-0.01,0,57,789,11,14
Bestie,-0.01,0,436,6783,14,16
crimeutils,-0.01,0,267,4028,13,15
bubblyr,-0.01,0,345,5287,14,15
BrazilMet,-0.01,0,99,1408,13,14
SimplyAgree,-0.01,0,22,294,9,13
chess,-0.01,0,196,2900,14,15
robslopes,-0.01,0,133,1923,14,14
cropZoning,-0.01,0,135,1953,13,14
POSTm,-0.02,0,40,544,11,13
changepoint.geo,-0.02,0,435,6757,14,15
aif360,-0.02,0,351,5377,13,15
altfuelr,-0.02,0,209,3100,14,15
CovCombR,-0.02,0,508,7963,15,16
grobblR,-0.02,0,349,5342,14,15
ddi,-0.02,0,500,7825,15,16
statgenGWAS,-0.02,0,507,7941,14,16
fxTWAPLS,-0.02,0,239,3569,13,15
entcn,-0.02,0,474,7386,15,16
dundermifflin,-0.02,0,468,7286,15,16
matrixdist,-0.02,0,152,2208,14,14
dsims,-0.02,0,48,656,12,13
colorhex,-0.02,0,15,199,8,12
AnimalAPD,-0.02,0,83,1165,12,14
fundiversity,-0.02,0,114,1628,13,14
TVMM,-0.02,0,447,6932,14,15
discAUC,-0.02,0,7,95,6,12
dfvad,-0.02,0,461,7161,15,16
cmdfun,-0.02,0,262,3926,14,15
AEenrich,-0.02,0,314,4758,14,15
vannstats,-0.02,0,64,885,10,14
Qapprox,-0.02,0,253,3782,16,15
miniMeta,-0.02,0,465,7219,15,15
cfda,-0.02,0,117,1670,13,14
njtr1,-0.02,0,140,2018,12,14
bccp,-0.02,0,226,3351,13,15
riskmetric,-0.02,0,27,360,11,13
depcoeff,-0.02,0,503,7836,15,16
jsontools,-0.02,0,79,1102,12,14
pdynmc,-0.02,0,494,7685,14,16
goldilocks,-0.02,0,30,401,9,13
lipidomeR,-0.02,0,451,6971,15,15
JCRImpactFactor,-0.02,0,37,498,11,13
mlr3benchmark,-0.02,0,202,2970,13,15
eatRep,-0.02,0,152,2196,13,14
